Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'170100',1932,1,6.3 
'170100',1932,2,2.99 
'170100',1932,3,4.58 
'170100',1932,4,3.76 
'170100',1932,5,2.37 
'170100',1932,6,1.97 
'170100',1932,7,3.66 
'170100',1932,8,4.09 
'170100',1932,9,5.85 
'170100',1932,10,5.26 
'170100',1932,11,4.48 
'170100',1932,12,2.62 
'170100',1933,1,4.11 
'170100',1933,2,4.02 
'170100',1933,3,4.88 
'170100',1933,4,6.57 
'170100',1933,5,3.03 
'170100',1933,6,3.02 
'170100',1933,7,3.51 
'170100',1933,8,4.32 
'170100',1933,9,4.34 
'170100',1933,10,8.07 
'170100',1933,11,4.46 
'170100',1933,12,5.14 
'170100',1934,1,4.82 
'170100',1934,2,4.86 
'170100',1934,3,3.23 
'170100',1934,4,6.46 
'170100',1934,5,1.89 
'170100',1934,6,5.16 
'170100',1934,7,3.95 
'170100',1934,8,1.89 
'170100',1934,9,6.97 
'170100',1934,10,3.6 
'170100',1934,11,5.99 
'170100',1934,12,5.29 
'170100',1935,1,12.69 
'170100',1935,2,3.46 
'170100',1935,3,2.13 
'170100',1935,4,3.85 
'170100',1935,5,1.7 
'170100',1935,6,4.56 
'170100',1935,7,3.05 
'170100',1935,8,2.16 
'170100',1935,9,4.58 
'170100',1935,10,1.19 
'170100',1935,11,9.11 
'170100',1935,12,3.41 
'170100',1936,1,10.96 
'170100',1936,2,4.29 
'170100',1936,3,10.82 
'170100',1936,4,5.48 
'170100',1936,5,3.29 
'170100',1936,6,4.59 
'170100',1936,7,2.1 
'170100',1936,8,2.3 
'170100',1936,9,3.49 
'170100',1936,10,6.4 
'170100',1936,11,3.29 
'170100',1936,12,10.35 
'170100',1937,1,5.45 
'170100',1937,2,4.58 
'170100',1937,3,4.65 
'170100',1937,4,4.28 
'170100',1937,5,4.71 
'170100',1937,6,4.81 
'170100',1937,7,1.83 
'170100',1937,8,1.42 
'170100',1937,9,4.67 
'170100',1937,10,8.22 
'170100',1937,11,6.24 
'170100',1937,12,3.88 
'170100',1938,1,7.01 
'170100',1938,2,3.85 
'170100',1938,3,3.22 
'170100',1938,4,3.35 
'170100',1938,5,4 
'170100',1938,6,3.59 
'170100',1938,7,6.05 
'170100',1938,8,2.09 
'170100',1938,9,6.11 
'170100',1938,10,4.04 
'170100',1938,11,4.81 
'170100',1938,12,6.07 
'170100',1939,1,3.1 
'170100',1939,2,5.03 
'170100',1939,3,5.19 
'170100',1939,4,5.27 
'170100',1939,5,1.52 
'170100',1939,6,3.21 
'170100',1939,7,2.84 
