#Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
#data for Eastport, ME
# http://cdiac.ornl.gov/epubs/ndp/ushcn/ushcn_map_interface.html
State_id  ,YEAR  ,Month  ,PRECIP
'172426',1920,3,4.36 
'172426',1920,4,4.21 
'172426',1920,5,1.26 
'172426',1920,6,1.95 
'172426',1920,7,1.23 
'172426',1920,8,2.1 
'172426',1920,9,3.38 
'172426',1920,10,2.18 
'172426',1920,11,2.52 
'172426',1920,12,3.31 
'172426',1921,1,2.1 
'172426',1921,2,2.88 
'172426',1921,3,3.04 
'172426',1921,4,2.98 
'172426',1921,5,1.25 
'172426',1921,6,1.02 
'172426',1921,7,1.79 
'172426',1921,8,1.8 
'172426',1921,9,2.36 
'172426',1921,10,1.66 
'172426',1921,11,5.11 
'172426',1921,12,1.33 
'172426',1922,1,1.9 
'172426',1922,2,3.1 
'172426',1922,3,2.7 
'172426',1922,4,1.76 
'172426',1922,5,2.27 
'172426',1922,6,2.45 
'172426',1922,7,3.69 
'172426',1922,8,9.44 
'172426',1922,9,0.96 
'172426',1922,10,3.01 
'172426',1922,11,1.93 
'172426',1922,12,3.26 
'172426',1923,1,4.95 
'172426',1923,2,2.36 
'172426',1923,3,3.88 
'172426',1923,4,4.17 
'172426',1923,5,1.52 
'172426',1923,6,2.74 
'172426',1923,7,2.69 
'172426',1923,8,2.47 
'172426',1923,9,1.36 
'172426',1923,10,2.35 
'172426',1923,11,2.27 
'172426',1923,12,3.18 
'172426',1924,1,3.62 
'172426',1924,2,1.07 
'172426',1924,3,1.13 
'172426',1924,4,2.29 
'172426',1924,5,1.83 
'172426',1924,6,1.92 
'172426',1924,7,3.29 
'172426',1924,8,4.79 
'172426',1924,9,2.48 
'172426',1924,10,1.14 
'172426',1924,11,1.59 
'172426',1924,12,2.09 
'172426',1925,1,3.24 
'172426',1925,2,1.95 
'172426',1925,3,3.79 
'172426',1925,4,1.53 
'172426',1925,5,1.18 
'172426',1925,6,2.87 
'172426',1925,7,2.69 
'172426',1925,8,1.92 
'172426',1925,9,3.22 
'172426',1925,10,5.84 
'172426',1925,11,3.5 
'172426',1925,12,2.07 
'172426',1926,1,4.11 
'172426',1926,2,3.61 
'172426',1926,3,2.94 
'172426',1926,4,1.86 
